"";"fungsi";"iterasi";"populasi";"numVar";"optimum";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"time"
"77";"f7";500;10;10;0,0841110688777043;0,304603579882458;0,0559239975442656;0,286938911467899;-0,161559098473553;-0,235293214122935;0,0405463632347524;0,12707021518297;-0,132754106136713;0,104770782972545;0,0143328048246858;1,13999999999942
"78";"f7";500;30;10;0,94615188266135;0,248727912278543;-0,0146006860121479;0,216897916575814;0,0266800503863668;0,203902856028229;-0,224881516908439;-0,202449745865147;-0,20368648334905;-0,127775641672703;-0,00475838325184085;1,60000000000036
"79";"f7";500;50;10;0,571954215650323;0,168947507415994;-0,160539097346569;-0,0436567133332608;0,161406511270275;0,00102859893286555;-0,074201305410864;-0,026048223476667;0,113646212926964;-0,167620343735148;-0,0880882017736499;2,09000000000015
"80";"f7";500;100;10;0,384356538724174;-0,0535303740520949;-0,263813611776239;0,2216617216647;-0,127663827784677;-0,165227558645585;-0,0977435046189037;0,0406665998148731;-0,088678137654993;0,119182493425095;-0,159126451474492;3,1299999999992
"81";"f7";1000;10;10;0,281169686757636;-0,126865920494611;-0,198073842801412;-0,0565912409153551;0,175332800574185;-0,132678700394558;0,107245928843606;-0,120585887642603;0,157807136507694;0,039758160564669;0,150672297558732;2,25
"82";"f7";1000;30;10;0,946241734300285;0,0955726374388915;-0,0720078212376024;-0,152574848227726;0,0743624883903618;0,186439486029348;0,273868243322037;-0,126261888967118;-0,0139521237156281;-0,0967517901874134;-0,0669940631839751;3,1200000000008
"83";"f7";1000;50;10;0,429437032601046;-0,0983087641154003;0,231871125631852;-0,162540505736869;0,203222535875342;-0,0282543299244789;-0,0839246618790244;-0,0226508324569794;-0,107304822701765;-0,122880483239508;-0,159298499228027;4,15999999999985
"84";"f7";1000;100;10;0,701655777910462;-0,0850963762774168;0,0225907202604436;0,126000612569652;-0,202612052419365;-0,0777852658087884;-0,122467589241166;-0,00260741096922786;0,234559689245945;-0,0156792845797792;0,0415346744028987;6,47999999999956
"85";"f8";100;10;10;-2417,39731878846;195,607712559124;417,112718844167;-252,078803380304;209,663840420737;405,076064662957;381,378724995181;387,163499076963;-306,082495761527;58,1957440977476;-305,857494775662;0,270000000000437
"86";"f8";100;30;10;-1975,23756872895;202,737272100283;-304,339570062825;-124,512663975995;-299,067540272517;-124,742108058204;204,942075365025;-28,2636533884998;203,08349287583;-300,84385928491;202,891839080349;0,359999999998763
"87";"f8";100;50;10;-1885,7418925726;-125,293196497669;64,606092550878;-124,627348715269;413,780382775509;202,868449173538;205,111526899126;413,783472971025;203,927842421446;-125,094841529542;-27,9954390430208;0,5
"88";"f8";100;100;10;-2394,51039007793;-298,273727453717;-111,744574810746;-28,6667073560141;408,363357205684;204,474859819492;203,334839507681;190,76578059683;403,571630795879;202,164150654693;410,309187316206;0,640000000001237
"89";"f8";500;10;10;-2344,43798217672;411,384024590483;200,210559364478;403,508215573618;-123,498608173483;203,856985232517;65,3291330564487;409,23796902614;202,985210947119;64,6453669011295;-300,808621760456;1,19999999999891
"90";"f8";500;30;10;-2795,09055211409;-300,710459223202;413,871673120296;-124,85158252257;-124,459439947886;415,513429753377;418,353884763355;202,949294311173;-301,210977068753;202,921639066061;-299,500764308264;1,75
"91";"f8";500;50;10;-2489,20366247144;-302,303157368707;-301,586975796836;416,79275789464;203,164838321882;203,304042631676;-125,195341959584;203,217117532429;-124,33562203778;419,011836929837;203,837862366375;2,09000000000015
"92";"f8";500;100;10;-2806,76387826218;-124,701057553514;419,713557592765;-301,862831176387;418,550240536429;203,575539714388;203,468546462157;-302,643814952016;419,597400465675;-124,818798475536;-302,389961418625;3,31999999999971
"93";"f8";1000;10;10;-2636,15558815874;-124,32910057668;-297,75714227982;200,399982359637;-298,646315151677;408,171387780575;199,452634863101;-294,365039875798;-297,097868283537;-127,075692846273;411,329929084151;2,31999999999971
"94";"f8";1000;30;10;-2866,91623520329;-302,284184887994;-302,637386048989;-301,852948749706;420,402751088696;-302,484546013197;203,818664256359;-302,473117160046;419,635033058374;203,661240006567;-124,764653378899;3,38000000000102
"95";"f8";1000;50;10;-2934,25520615642;-296,812760466429;203,552389913611;-299,416381234994;412,531248360936;414,234930165395;199,974168051817;202,752183872782;203,596748606261;-299,773553374487;412,604954435243;4,32999999999993
"96";"f8";1000;100;10;-3062,69851201835;-302,196007116071;203,723845551822;-302,612384651473;203,513645957139;419,393023368027;420,262351340762;-302,016340634648;202,759649721923;417,658716507281;-302,465809145653;6,63999999999942
"97";"f9";100;10;10;15,732906975278;1,00021367574187;-0,97894327907724;0,937512796970788;0,993830841945584;1,00979668782002;0,987189827251948;-1,00098853840913;-1,99234888216124;-1,9903895085492;-0,0147459140172032;0,280000000000655
"98";"f9";100;30;10;20,3315448281941;1,98597646559831;2,94135183391942;-0,00713258971767435;0,00460595447467213;1,97775463461985;-0,990222054889552;-0,997487388704756;0,00747031692408565;0,0011813781110053;-0,996579538265778;0,399999999999636
"99";"f9";100;50;10;22,8948796552798;-0,992528359035386;2,98398517459281;0,00480229289337627;1,98806913523915;-0,993689302556462;0,994907915101458;1,98627159619745;-0,99243217346376;0,995614433826971;0,994975598132113;0,440000000000509
"100";"f9";100;100;10;7,00601563610188;-0,00301441090778571;1,99011562026113;0,990228998754572;-0,0100392276944694;-0,00447431271796726;0,00406237579292808;0,996050366826781;-0,0051444511575333;-0,991904545750018;-0,00157632673505931;0,670000000000073
"101";"f9";500;10;10;14,9356669457549;0,994505651161823;0,993811425936496;0,994493073877106;-1,98629752292433;-0,993618422603158;-0,00310195957478587;-0,991050781684263;0,992383973016798;0,996738713797729;-1,98752714896166;1,18999999999869
"102";"f9";500;30;10;3,98020315902606;0,000251377197056621;0,000443634127963958;-0,995209743379433;-0,995206544161937;0,000490327564834192;-0,994384310443576;0,00054051326210602;-0,994202116087017;0,000142433721277736;-0,00010258157035387;1,80000000000109
"103";"f9";500;50;10;3,97988377774858;-0,994848539678541;0,00014289592603474;-0,994839055845319;0,000140285411764418;-0,000261076351536915;4,09917105254035e-05;-9,56952116958467e-05;-0,994900931945096;-0,994702530678778;0,000159005005170791;2,27999999999884
"104";"f9";500;100;10;3,27238654240233;-0,00105679469035538;0,00690466972208131;-0,980063449339896;-0,0104583751423823;-0,0689174131616842;-0,992617537730943;0,0078745244564965;-0,0180697539456418;0,00574916231371086;-0,0313857895041673;3,63000000000102
"105";"f9";1000;10;10;10,9453662560405;0,9956763504861;-0,000451249543707782;4,23974525552751e-05;-0,000697707781975861;-0,000842886590587664;0,994547611775339;0,995866361100215;0,00017224316549989;-1,99073516986382;-1,98916888751614;2,35999999999876
"106";"f9";1000;30;10;3,99142364400518;-0,00529785338640188;0,000504258309285683;-0,000419690363929215;0,992398335329307;-0,99393240688472;0,00260425151856985;0,00255651278114063;0,99594397295407;-0,00122817787053073;0,99240591400475;3,54000000000087
"107";"f9";1000;50;10;2,9849725876533;-5,62168591171572e-05;0,000104908860788888;-0,000258021614034434;0,994697995699763;-0,995003318443513;0,994921731700767;-0,000465358452116393;0,000164070268089636;0,000270266913519232;-0,000111488475068059;4,40999999999985
"108";"f9";1000;100;10;0,994960018022056;7,66811078087604e-06;-4,61990494080285e-05;2,71439948092575e-05;-6,18224004558495e-06;2,46261570465386e-05;0,994966979432178;5,49362455989969e-06;3,21230692213632e-05;-8,27242428270836e-06;8,30137440747041e-06;6,94000000000051
"109";"f10";100;10;10;2,15608073750259;-0,0412137309079681;-0,118988983727151;-0,0221740476169617;0,014942681352735;1,03484175784022;-0,0231230624960741;0,0625115615158351;0,00650767227273824;-0,281509195702379;0,887268756197182;0,279999999998836
"110";"f10";100;30;10;2,61735296306003;-0,0533112705157051;0,00729377715492822;0,965908954624933;-0,958572638277948;-0,911574407359039;0,0204218303875654;-0,04314645530915;1,0843091290924;-0,000318834539082224;0,184423636727179;0,389999999999418
"111";"f10";100;50;10;0,0950374572622725;-0,00545444027801946;-0,0110434622497134;0,0167573436827609;0,0202193713963923;-0,0173645973277778;-0,0258917123177327;0,0354618344096204;0,00173507443034508;-0,0135912287254124;0,0186205784304279;0,470000000001164
"112";"f10";100;100;10;0,0276042880960898;0,00567294316160292;-0,0153885464624026;-0,00532114667388705;0,000533961675854178;0,00200368431783197;0,00237441163709228;-0,00310373877327415;-0,00882787949709504;0,00267889509042055;-0,00168556912058068;0,670000000000073
"113";"f10";500;10;10;0,00246454864874268;-0,000169566413902466;-0,000658097423105655;-0,000549560075086018;-0,00116143219925759;-0,000350618629369663;0,000142446805024818;-0,00110567545857656;0,000454925352191287;-0,000208665699394392;-7,86631950693626e-05;1,27000000000044
"114";"f10";500;30;10;1,18699863271843e-08;-1,56530238928095e-09;2,54786310076295e-09;8,04245416642502e-09;-2,16345947670566e-10;7,27748321288855e-10;-2,78169174490079e-10;-3,4454054845671e-09;-5,12768632039723e-10;-1,26176994346595e-09;-2,40634758840547e-10;1,76999999999862
"115";"f10";500;50;10;1,57139767864578e-09;-3,38686450107801e-10;5,59689510540196e-11;-6,13993942025713e-10;2,5528893504146e-10;4,24542028668933e-10;1,22400478670324e-11;3,23517643900725e-11;-7,37656226816563e-10;4,55049339712365e-10;2,25083898881055e-10;2,28000000000065
"116";"f10";500;100;10;6,89670542897147e-13;-1,54062593583539e-13;-1,80132107827858e-13;4,2090499356126e-14;7,91455376695787e-14;3,00701503941293e-13;1,98277727786968e-13;-3,00321980689061e-13;-8,45563814315366e-14;-5,8779889501936e-14;-4,67234889377071e-14;3,38999999999942
"117";"f10";1000;10;10;1,22924574381678e-05;-2,252793314938e-06;-1,22565713009089e-06;2,99217097713423e-06;-1,80305063559054e-06;1,15309443832345e-06;4,74901934266589e-06;6,89590194386468e-06;-2,00522216000779e-06;-4,39273924465677e-07;3,23534927593253e-08;2,39000000000124
"118";"f10";1000;30;10;2,37965203098156e-11;-2,07974884272011e-12;1,7467286842752e-11;-2,57029069333132e-12;-6,9101383238384e-13;3,31629315013739e-12;-9,53906204109835e-13;2,72546212944113e-12;-2,32800674590029e-13;-3,06805595821714e-12;-2,9256106123167e-12;3,43999999999869
"119";"f10";1000;50;10;1,46549439250521e-14;8,40080071688317e-15;1,88894980060465e-15;-3,07048724367618e-16;-5,1135851318145e-17;-1,36553303046839e-15;3,51795439083799e-15;-8,1683927020073e-15;9,87046710832312e-16;2,32208869131123e-15;3,09825867325159e-15;4,23000000000138
"120";"f10";1000;100;10;7,54951656745106e-15;2,765430951934e-15;1,40729541579131e-15;1,68764571018235e-15;-2,14521313499086e-15;8,80981004279713e-16;5,43460863631488e-15;-7,09975611198055e-16;-6,0174876328049e-16;3,40470002264185e-15;-9,53442412215395e-16;6,67000000000007
"121";"f11";100;10;10;0,968670080264995;18,7660642452083;-13,7620133948412;-10,4635190262848;-7,57018060244004;-26,9042023037293;-7,60388183253472;-16,6997954452304;-8,2926148464624;18,4283465741093;1,12325240366745;0,25
"122";"f11";100;30;10;0,140627798671651;12,4888283841122;-4,42970864278045;0,252942893745921;-6,10566329132031;0,113003843095619;-7,60582494351317;0,080915965550161;0,690044636989266;9,39976541469863;0,191485367314067;0,390000000001237
"123";"f11";100;50;10;0,154046118105931;-3,14753157744712;-13,2659079642123;-5,3036047846402;6,3183012455855;-7,08483647061339;0,0450363709552946;8,20963797610523;-8,3791602284416;9,36737930565757;-0,00381808072111606;0,449999999998909
"124";"f11";100;100;10;0,239826471521825;3,15204681849507;4,46421413509924;-0,058502566092922;-0,051641981693438;6,97665243012334;7,50766010567713;0,0666982089254857;26,5865563794572;9,17566582684544;0,03158757162431;0,690000000000509
"125";"f11";500;10;10;0,204935413722602;-3,1400062417048;0,00494971316688728;-5,44047580285629;18,7997759603741;14,0579222098495;7,68813380426864;0,0131746266991597;-8,83232903722648;9,40949378931571;0,0847119887782344;1,36000000000058
"126";"f11";500;30;10;0,29286595795823;0,00109724315789039;22,1949603604505;5,43372632269927;-6,26684704871985;-7,01560296439597;-0,0105507106293235;0,0162228245201635;8,8569575911037;9,35176771202915;19,7607496772219;1,85999999999876
"127";"f11";500;50;10;0,341962638140162;12,5634396717065;-13,318808922043;0,00371557560006365;-0,00161056042433583;-14,0157803291318;15,3409234319121;-8,28414827355628;8,8514221005561;18,7580717467885;9,89250401185587;2,26000000000022
"128";"f11";500;100;10;0,201825814032422;6,28092418550406;-4,43655993540439;-0,000887652757011715;12,5417427325724;-21,0222526319207;0,00176897818245108;-8,28518553604943;-8,8515127250684;0,00412525666417745;-0,00255312651257957;3,48999999999978
"129";"f11";1000;10;10;0,125602507288624;6,27704863328079;13,321811144994;-5,42694494345664;6,27447017112886;-7,00938293875848;-0,0117227001782302;8,29197785988779;0,00275911039272038;0,0157946281148605;-9,89316310574358;2,31000000000131
"130";"f11";1000;30;10;0,0693238053201017;9,42110770965032;-0,00144767445461538;5,41520004343363;-0,015889686516535;0,0116466435218069;-7,70680782182878;0,00106869758771032;0,0514094290534593;-0,032688038305517;-9,88398046589706;3,47999999999956
"131";"f11";1000;50;10;0,0787090700540306;3,13976764550151;-8,8767341063435;0,000198680711038148;-0,00105824511183442;0,000716433997613269;7,67132047406362;8,28215974223926;-0,000637922319909627;-0,000211701817877343;-9,883671994632;4,46999999999935
"132";"f11";1000;100;10;0,108280726929824;6,2802071510014;-8,61076627122932e-05;5,43315588705133;-12,5418057605921;-7,00783227003837;0,000588975317059627;8,28272054938572;0,00173722810672716;9,38230227244321;0,00151338167032095;7,03000000000065
"133";"f12";100;10;10;11,7114256543133;-1,25628802573737;-7,70110820598791;-1,04024154172487;-7,89445956215444;7,35284261297964;6,81999627049264;2,90115885071913;-4,42443280698442;3,51706183357909;10,2823560218619;0,329999999999927
"134";"f12";100;30;10;0,734014665808994;-0,950516119867565;-0,140340772107739;-1,04759811911538;2,89051552154946;-1,05102738662985;-2,11189647539041;-0,245149759792225;2,89888117153866;-1,01084902557266;-0,741699406645064;0,389999999999418
"135";"f12";100;50;10;0,00209404605662383;-1,00337317653708;-0,969429906868158;-1,00098838413429;-0,943584238716836;-1,24981978271055;-0,989113342937326;-1,06938099766769;-0,847743572031994;-0,916329522944851;-1,0298217933411;0,530000000000655
"136";"f12";100;100;10;0,112784919811952;-1,01724050295517;-1,14608881609461;-1,04283923882917;-1,16675681995192;-0,528529025004326;-1,24247893869326;1,11268819064135;-0,947105435615554;-1,0925345050861;-0,64781952168619;0,819999999999709
"137";"f12";500;10;10;1,81095573620046;-1,00015642197684;-0,540858380984984;-1,06490371093136;-0,962981596423963;-1,25646667426666;2,46721978744506;-8,90270473024613;2,98179023850269;-0,993094858895656;-0,180156200810969;1,26000000000022
"138";"f12";500;30;10;1,15136559675229e-06;-1,00000045621031;-1,0064844732373;-1,00195979162816;-0,998736781806244;-1,00036619830859;-0,999981881158641;-0,999971132533827;-0,997977213481849;-0,99850908778357;-0,997831418046655;1,90999999999985
"139";"f12";500;50;10;1,58646966447591e-08;-0,999994968990841;-0,999730959002156;-0,999891260215426;-1,00067746917901;-0,999687114640653;-0,999997128832108;-1,00004199665629;-0,999688452793454;-1,00021779998182;-1,00013460687268;2,40999999999985
"140";"f12";500;100;10;6,4564059198976e-27;-0,999999999999969;-1,00000000000015;-1,0000000000001;-1,00000000000012;-0,999999999999822;-0,999999999999888;-0,999999999999706;-0,999999999999965;-1,00000000000001;-1,00000000000025;3,95999999999913
"141";"f12";1000;10;10;1,32656769216378e-07;-1,00003022942454;-1,00120366959078;-0,9986812641866;-0,999572755286862;-0,999522137970085;-1,00009143880847;-0,999117196159832;-1,00121086104565;-0,999187423020772;-0,999610033358485;2,43000000000029
"142";"f12";1000;30;10;2,58549279988026e-22;-0,99999999999895;-0,999999999955498;-0,999999999923453;-1,00000000001215;-0,999999999991568;-1,0000000000036;-0,999999999980313;-1,00000000006587;-0,999999999989993;-0,999999999987365;3,78000000000065
"143";"f12";1000;50;10;1,06504722528845e-30;-1;-1;-1;-1;-0,999999999999994;-1;-1;-1;-0,999999999999997;-1;4,84000000000015
"144";"f12";1000;100;10;4,71132310655359e-32;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8,79999999999927
"145";"f13";100;10;10;393,192165338376;6,39553521120171;0,291171610389572;-1,24413204434944;0,816802943491787;-5,04603157466279;1,02744720825411;5,20653503706737;-1,65455553583686;2,96203764133676;-3,4816384915079;0,280000000000655
"146";"f13";100;30;10;19,4346856038561;2,32624736590785;-1,46687078300465;3,45169558946848;4,52773888338686;-4,69613878762629;0,355847313925157;2,64062344761905;-4,83794510568065;-5,37479682454567;2,60469178445924;0,409999999999854
"147";"f13";100;50;10;12,7534163240099;4,18087117226668;-4,65657398183595;5,02209544580487;-2,257834348066;-3,31679706595719;-2,68819277851084;3,31264254142105;-0,362340322482097;-0,584843802647362;2,56445075314649;0,540000000000873
"148";"f13";100;100;10;8,1043105551335;-1,30879084289094;0,00832794775232764;-3,71075480368033;4,66598541147546;-3,33052168130134;-0,340805761081899;4,01104499092837;-0,330715260757343;-0,394942665104193;-1,0456362023874;0,769999999998618
"149";"f13";500;10;10;3,80806372942822e-05;1,00075967956744;0,999859114716273;1,00721335255806;1,00329506868107;0,999613457019341;0,998582238777804;0,996319723263699;1,00956954368857;1,01234360839774;0,997775531132346;1,30000000000109
"150";"f13";500;30;10;3,52763005689265e-15;0,999999999043376;1,00000012383646;0,999999983230469;0,999999940825988;0,999999946512247;0,999999898644717;1,00000004285943;1,00000003113633;0,99999999593859;0,999999989085845;1,82999999999993
"151";"f13";500;50;10;1,14730803085284e-18;1,00000000001616;0,999999997954734;0,999999999957427;1,00000000116095;0,999999999845397;1,00000000086439;1,00000000016424;0,999999999981633;0,999999999482916;1,00000000220253;2,38999999999942
"152";"f13";500;100;10;5,34104752022708e-21;1,00000000000085;1,000000000038;1,00000000019693;1,00000000004059;1,00000000002989;0,999999999987838;0,999999999919062;0,999999999978315;1,00000000005829;1,00000000000331;3,93000000000029
"153";"f13";1000;10;10;9,0531670865684e-10;1,0000001768847;0,999999318244528;0,99998481451914;0,999999858894455;0,99994465311703;1,00000106650979;0,999983133312301;1,00000684935417;1,00007166712429;0,999983050590453;2,46999999999935
"154";"f13";1000;30;10;1,30155465984181e-23;0,999999999999972;0,999999999989235;1,00000000000007;0,999999999999964;0,999999999999788;1,00000000000006;0,999999999998366;0,999999999999472;1,00000000000322;0,999999999999083;3,68000000000029
"155";"f13";1000;50;10;1,54283320725807e-29;1;0,999999999999993;0,999999999999998;1;1,00000000000001;1;0,999999999999999;0,999999999999999;1,00000000000001;1;4,95999999999913
"156";"f13";1000;100;10;1,34969464963992e-32;1;1;1;1;1;1;1;1;1;1;8,1200000000008
